"filename", "language", "JSON", "JavaScript", "HTML", "PostCSS", "Markdown", "XML", "JSON with Comments", "comment", "blank", "total"
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\README.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 0, 24, 75
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\guidelines.html", "HTML", 0, 0, 620, 0, 0, 0, 0, 9, 95, 724
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\help.html", "HTML", 0, 0, 989, 0, 0, 0, 0, 22, 148, 1159
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\index.html", "HTML", 0, 0, 388, 0, 0, 0, 0, 26, 25, 439
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\manifest.webmanifest", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\offline.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\postcss.config.cjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\featured-apps\about-me.xml", "XML", 0, 0, 0, 0, 0, 919, 0, 6, 140, 1065
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\featured-apps\gta-5-crew-emblem-creator.xml", "XML", 0, 0, 0, 0, 0, 625, 0, 7, 72, 704
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\featured-apps\manifest.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\featured-apps\music.xml", "XML", 0, 0, 0, 0, 0, 718, 0, 5, 118, 841
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\featured-apps\settings.xml", "XML", 0, 0, 0, 0, 0, 1317, 0, 2, 197, 1516
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\gta-online-crew-emblem-creator\GTA5CrewEmblemCreator.html", "HTML", 0, 0, 1225, 0, 0, 0, 0, 38, 111, 1374
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\gta-online-crew-emblem-creator\icon.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 4, 5, 29
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\json-tools\icon.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 8, 8, 41
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\json-tools\image2json-icon.svg", "XML", 0, 0, 0, 0, 0, 27, 0, 4, 5, 36
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\json-tools\image2json.html", "HTML", 0, 0, 195, 0, 0, 0, 0, 0, 35, 230
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\json-tools\index.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\json-tools\jsonEncrypter-icon.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 6, 7, 37
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\json-tools\jsonEncrypter.html", "HTML", 0, 0, 329, 0, 0, 0, 0, 0, 49, 378
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\minecraft-calendar\data.json", "JSON", 195, 0, 0, 0, 0, 0, 0, 0, 0, 195
"d:\Documents\GitHub\Portfolio\Portfolio\shawnyxx\public\assets\apps\minecraft-calendar\icon.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 7, 7, 39
